,sentence,university,moral_label
0,demand factors are affected by the increasing digitalization of the new generations of students.,BOCCONI UNIVERSITY STRATEGY,0
1,"the launch of entire online programs from some american and european institutions (such as arizona state, warwick, and others) and more recent developments of video on demand models from important competitors such as harvard business school, mit and others have started remodeling the landscape of higher education.",BOCCONI UNIVERSITY STRATEGY,0
2,"the fact that the courses offered by the best and most well known professors from prestigious universities are easily available for free on the web represented a challenge and, at the same time, had clear implications on the learning process.",BOCCONI UNIVERSITY STRATEGY,0
3,"similarly, the fact that new generations are used to easily finding contents and knowledge freely on the web had clear implications for the value added expected by students from class activities and, more generally, university campus life.",BOCCONI UNIVERSITY STRATEGY,0
4,"as an example, today it is possible to produce micro data on consumption and savings and link them to specifc actions undertaken by corporations within industries and with macro shocks.",BOCCONI UNIVERSITY STRATEGY,0
5,"on the other hand, it has emphasized the relevance of interdisciplinary research in both data collection (the skills required to collect data are becoming deeper and wider, linking experts in computer science with experts in behavioral sciences) and data interpretation (with new models crossing specialized scientific fields to address relevant problems such as climate change).",BOCCONI UNIVERSITY STRATEGY,0
6,"finally, the exponential growth of social networks made possible by technological evolution has had a significant impact on the new generations of students’ attitudes and behavior, often presenting implications relevant to higher education institutions’ teaching and research activities, and more generally for societal development, igniting new phenomena like technology addiction, fake news diffusion, and potential threats to democratic processes.",BOCCONI UNIVERSITY STRATEGY,1
7,"international student exchanges, double degrees and international partnerships in general among higher education institutions have literally boomed during the last two decades, with asian students playing a significant role in the growth of the international flow of students across the globe.",BOCCONI UNIVERSITY STRATEGY,0
8,"similarly, the number of faculty and researchers working abroad has grown significantly, together with international cooperation among researchers of different countries.",BOCCONI UNIVERSITY STRATEGY,0
9,"these two major trends are likely to be affected in opposite ways by the emergency crisis generated by the pandemic that spread across the entire world in 2020. while the use of digital technologies for teaching and learning has experienced an exponential growth during the crisis and the role of science and interdisciplinary research has become even more important in the interaction between science and politics during the covid pandemic, the globalization of the higher education industry has suffered a sudden dropoff, mostly due to the constraints on international travel and mobility.",BOCCONI UNIVERSITY STRATEGY,0
10,"indeed, while digital platforms have experienced a boom and a large part of the developed world has moved from a traditional physical face to face educational model to an online one, the international flow of students has suffered a major drawback, with most foreign students returning to their home countries and international study abroad experiences being temporarily suspended due to the risk of cross border contagion.",BOCCONI UNIVERSITY STRATEGY,0
11,"while it is difficult to predict how the situation will evolve in the future, it is reasonable to assume that these two opposite effects will not merely last for a few months, but will rather affect the evolution of higher education in the next few years.",BOCCONI UNIVERSITY STRATEGY,0
12,"indeed, the sudden acceleration of online educational activities is likely to continue affecting universities and business schools worldwide.",BOCCONI UNIVERSITY STRATEGY,0
13,"similarly, the slowdown in the globalization of the industry is also likely to have some long lasting effects.",BOCCONI UNIVERSITY STRATEGY,0
14,"in addition to the above mentioned effects, the health crisis generated by the covid 19 pandemic is likely to lead to some additional important consequences, that will also affect the higher education industry: a global recession that will reduce job opportunities in the most severely hit industries, such as tourism, entertainment, hospitality, automotive; a reduction in the international mobility of people and goods, which will impact global trade and the global manufacturing platforms of production; a significant increase of debt - both in the public and private sector - as a consequence of the economic downturn, with leverage increasing in all economic segments, i.e.",BOCCONI UNIVERSITY STRATEGY,0
15,"households, corporates and governments; a significant increase in the role and weight of the public sector in most advanced market economies, where the possibility of overcoming the financial difficulties suffered by households and private firms, especially smes, has only been possible thanks to government intervention.",BOCCONI UNIVERSITY STRATEGY,0
16,"they include, but are not limited to: understanding the future challenges and opportunities for a european institution with global ambitions like bocconi university requires us to carefully examine the above mentioned implications, together with the more general scenario that lies ahead.",BOCCONI UNIVERSITY STRATEGY,0
17,"a more specific analysis of the main strengths and weaknesses of bocconi, in light of the above mentioned trends and challenges, is then presented in section (iv).",BOCCONI UNIVERSITY STRATEGY,0
18,the analysis presented in this document has significantly benefited from individual interviews to the members of the international advisory committee (iac) of bocconi university and from discussions with the members of the board of directors.,BOCCONI UNIVERSITY STRATEGY,0
19,"also, the results of an open survey to the entire faculty has provided significant contributions, together with individual colloquia with the school deans, the department directors and key members of the administrative staff.",BOCCONI UNIVERSITY STRATEGY,0
20,"finally, important input has also been provided by the bocconi alumni community and by the students’ representatives.",BOCCONI UNIVERSITY STRATEGY,0
21,"the reduction in revenues (student intake, fundraising, executive education) and increase in costs (health and safety, technology); the decrease in the international mobility of talented international students and professors; problems related to the supply of internships and placement opportunities for students and graduates; the potential reduction in state funding given the budget constraints that will likely be faced by local and national governments; the emergence of new issues and challenges for the world economy to be addressed by rigorous research; problems related to class size and, more generally, the teaching and learning model given the physical distance constraints; an increased need of scholarships and financial aid for students whose families are facing economic and financial problems.",BOCCONI UNIVERSITY STRATEGY,0
22,"this is relevant not only to understand how the market for higher education will evolve globally, but also to better identify the major trends that will affect the demand for tertiary education in the different macro regions of the world.",BOCCONI UNIVERSITY STRATEGY,0
23,"in doing so, a number of projections by eurostat, the un, the world bank and other sources have been used.",BOCCONI UNIVERSITY STRATEGY,0
24,"while most of these projections and estimates were formulated before the 2020 covid 19 pandemic crisis, it is reasonable to assume that they still hold, especially as far as demographics in europe, america and asia are concerned.",BOCCONI UNIVERSITY STRATEGY,0
25,"figure 1 | european union population projection 1. based on this analysis, a number of important evidences have been identified.",BOCCONI UNIVERSITY STRATEGY,0
26,"first, despite the low fertility rate in a number of countries of the old continent, the eu (27 countries + uk) population is expected to continue to grow in the next two decades.",BOCCONI UNIVERSITY STRATEGY,0
27,"as an example, italy, the third largest country by population after germany and france, with a fertility rate of 1.29 per woman, has an age distribution of its population with a very low percentage of young people (figure 2).",BOCCONI UNIVERSITY STRATEGY,0
28,"this has clear implications for a university like bocconi, where the majority of the students are of italian nationality.",BOCCONI UNIVERSITY STRATEGY,0
29,"america and western europe will have a larger number of students than the world average until 2030, while in the following years they will have lower than world average values.",BOCCONI UNIVERSITY STRATEGY,0
30,"china, india and other asian countries, which will therefore become increasingly significant in terms of their share of the university student population.",BOCCONI UNIVERSITY STRATEGY,0
31,it is therefore reasonable to assume that the total number of higher education students will significantly expand during the next decade.,BOCCONI UNIVERSITY STRATEGY,0
32,"there is therefore a parallel shift towards asia not only in terms of population dynamics, but also in terms of spending power (table 1).",BOCCONI UNIVERSITY STRATEGY,0
33,the global cities that are expected to grow the most in the next decade (figure 6).,BOCCONI UNIVERSITY STRATEGY,0
34,"visa business and economics insights, oxford economics finally, it is important to highlight that, despite the decreasing weight of italy in terms of population and economic weight, milano is generally classified among the top global cities (see figure 7), thanks to its competitive position in some key industries (fashion, food, finance, healthcare, pharma, etc.)",BOCCONI UNIVERSITY STRATEGY,0
35,"figure 7 | selected global cities and income segment composition to sum up, it is reasonable to conjecture that the higher education industry is expected to grow significantly in terms of demand during the next decade.",BOCCONI UNIVERSITY STRATEGY,0
36,this increase is related both to an increase in the number of people in the right age bracket and in the share of global spending in higher education.,BOCCONI UNIVERSITY STRATEGY,0
37,"this increase will mostly come from asian students, who will grow both in numbers and in terms of purchasing power.",BOCCONI UNIVERSITY STRATEGY,0
38,"however, milan, the country’s economic and financial capital, where bocconi is located, while threatened by the recent pandemic crisis, represents a dynamic and attractive location well positioned among the top global cities of the world.",BOCCONI UNIVERSITY STRATEGY,0
39,"this analysis has benefited from interviews with members of the international advisory council, members of the board of directors and a number of hr managers from major corporates and financial institutions.",BOCCONI UNIVERSITY STRATEGY,0
40,the main trends characterizing the future job market are summarized below.,BOCCONI UNIVERSITY STRATEGY,0
41,"first, during the last few years a growing skills mismatch between supply and demand has been recorded.",BOCCONI UNIVERSITY STRATEGY,0
42,"this mismatch is mostly due to the shortage of competences in areas such as computer science, data science, information technology, and more generally science.",BOCCONI UNIVERSITY STRATEGY,0
43,"these are often related to the more general stem (science, technology, engineering and mathematics) competences.",BOCCONI UNIVERSITY STRATEGY,0
44,it is reasonable to assume that this skills mismatch will continue to characterize the future years and will even be worsened by the digital practices and needs that emerged during the 2020 covid 19 pandemic.,BOCCONI UNIVERSITY STRATEGY,0
